id,project_url,Researcher ID,researcher name,project title,Current Affiliation (Institution 1),"Title 1 (assistant professor, phd, postdoc, etc.) ",Misc Defined,Student/Non-Student (0/1),Researcher 2 Affiliation,"Title 2 (assistant professor, phd student, postdoc, etc.)",Researcher 3 Affiliation,"Title 3 (assistant professor, phd student, postdoc, etc.)",Researcher 4 Affiliation,Title 4,US/Non-US (0/1),Institution Classification,Institution Classification Specified,Address 1 (Affliation),zip,Address 2 (Affliation),Latitude 1 (Affliation)  ,Latitude 2 (Affliation),Longitude 1 (Affliation) ,Longitude 2 (Affliation),"City, State 1 (Affliation)","City, State 2 (Affliation)",CBSA1Affliation,CBSA 2 (Affliation),Country (if Non-US),Position 1,Position 2,Position 3,Education 1,Education 2,Education 3,Research University 1,Research University 2,Location of Research 1,Location of Research 2,"Disciplinarity (0 - single, 1 - multi)","Relevance (Theory - 0, Practice - 1, Both - 2)",Relevant Publications (expertise) (0 - dont or 1 - if they did),"Category Relevance (0 - not on list, 1- yes, 2-mixed)",,researcher_title,backers,categories,category1,category2,category3,category4,state,abbreviation,Pasteur's Quadrants (Q1: low/low; Q2: pure basic research; Q3: use-inspired basic research; Q4: applied research),funding_start,funding_end,duration,funding_target,funding_raised,funding_success,funding_percent,name 1,name 2,ID1,ID2,matches 1,matches 2,manual1,manual2,H-Index 1,H-Index 2,Citation-Count 1,Citation-Count 2,budget_overview_granularity,spending_data_granularity,usage_granularity,overall_budget_granularity,video_granularity,description_granularity,credential_granularity,researcher_background_granularity,mugshot_granularity,goal_granularity,importance_granularity,overall_project_detail,video_effort,description_effort,credentials_effort,budget_overview_effort,researcher_bio_effort,mugshot_effort,goals_writeup_effort,importance_writeup_effort,fund_usage_writeup_effort,total_effort
1,https://experiment.com/projects/secrets-of-the-mysterious-vessel,262,Pete Lape,Secrets of the Mysterious Vessel,Brown University,PhD,,0,,,,,,,0,D,D3,"1400 NE Campus Parkway, Seattle, Washington 98195-4550",98195,,47.656216,,-122.31312,,"Seattle, WA",,42660,,,Associate Professor,,,Ph.D Anthropology Brown University, ,,,,,,0,1,0,0,,Ph.D Anthropology Brown University,19,Geology,Paleontology,,,,Washington,WA,Q3,3/22/2012 17:00,6/16/2012 17:00,86.00,2400,281,0,11.70833333,Pete Lape,,,,0,,0,,,,,,0.567,0.667,0.867,0.7,1,0.5,0,0.033,1,0.033,0.333,0.414,1,0.5,0,0.567,0.033,1,0.033,0.333,0.867,0.481
2,https://experiment.com/projects/genetic-circuits-for-interactive-learning,38,Herbert M Sauro,Analog Genetic Circuits for Interactive Learning ,University of Washington,Associate Professor,,1,,,,,,,0,D,D2,"1400 NE Campus Parkway, Seattle, Washington 98195-4550",98195,,47.656216,,-122.31312,,"Seattle, WA",,42660,,,,,,University of Washington, ,,University of Washington,,Washington,,1,1,1,1,,University of Washington,39,Biology,Computer-Science,Education,Engineering,,Washington,WA,Q4,3/19/2012 0:00,5/18/2012 0:00,60.00,1150,1184,1,102.9565217,Herbert M Sauro,,6601968571,,4,,"['6601968571', '56209739600', '56254936100', '56224260300']",,21,,2977,,0.167,0.333,0.3,0.267,1,1,1,0.133,0,0.2,0,0.476,1,1,1,0.167,0.133,0,0.2,0,0.3,0.422
3,https://experiment.com/projects/bring-a-triceratops-to-seattle,6,Christian Sidor,Bring a Triceratops to Seattle,University of Chicago,PhD,,0,,,,,,,0,D,D1,"1400 NE Campus Parkway, Seattle, Washington 98195-4550",98195,,47.656216,,-122.31312,,"Seattle, WA",,42660,,,Professor,,,"Burke Museum of Natural History, Curator  

University of Washington, Professor

University of Chicago, M.S., Ph.D Organismal Biology

Trinity College, B.S. Biology", ,,University of Washington,,Washington,,0,1,1,0,,"Burke Museum of Natural History, Curator <br> University of Washington, Professor<br> University of Chicago, M.S., Ph.D Organismal Biology<br> Trinity College, B.S. Biology",35,Geology,Paleontology,,,,Washington,WA,Q4,3/23/2012 17:00,5/18/2012 17:00,56.00,2300,2395,1,104.1304348,Christian Sidor,,6603946691,,1,,0,,15,,1160,,0.1,0.667,0.4,0.389,1,1,1,0.1,1,0.1,0.1,0.614,1,1,1,0.1,0.1,1,0.1,0.1,0.4,0.533
6,https://experiment.com/projects/crowdsourcing-humor-using-humans-and-computers-together-to-write-jokes,367,Lydia Chilton,Why are jokes funny?,University of Washington,PhD,,0,,,,,,,0,D,D2,"1400 NE Campus Parkway, Seattle, Washington 98195-4550",98195,,47.656216,,-122.31312,,"Seattle, WA",,42660,,,Doctoral Candidate,,,"PhD in Computer Science at the ""http://www.cs.washington.edu/"" University of Washington

B.S. Economics, Computer Science at ""http://mit.edu"" Massachusetts Institute of Technology", ,,University of Washington,,Washington,,0,0,0,0,,"PhD in Computer Science at the <a href=""http://www.cs.washington.edu/"">University of Washington</a><br> B.S. Economics, Computer Science at <a href=""http://mit.edu"">Massachusetts Institute of Technology</a> ",45,Computer-Science,,,,,Washington,WA,Q1,3/10/2013 17:00,3/17/2013 17:00,7.00,1150,1205,1,104.7826087,Lydia Chilton,,35174165400,,1,,0,,4,,154,,0.067,0.667,0,0.245,1,1,1,0.067,0,0.2,0.267,0.505,1,1,1,0.067,0.067,0,0.2,0.267,0,0.4
9,https://experiment.com/projects/how-do-spammers-harvest-your-e-mail-address,7,Jeff Huang,How do spammers harvest your e-mail address?,University of Washington,PhD,,0,,,,,,,0,D,D2,"1400 NE Campus Parkway, Seattle, Washington 98195-4550",98195,,47.656216,,-122.31312,,"Seattle, WA",,42660,,,Ph.D. Candidate,,,"Ph.D. candidate, Information School, University of Washington MS, Computer Science, University of Illinois BS, Computer Science, University of Illinois", ,,University of Washington,,Washington,,0,1,1,0,,"Ph.D. candidate, Information School, University of Washington MS, Computer Science, University of Illinois BS, Computer Science, University of Illinois",15,Computer-Science,,,,,Washington,WA,Q3,4/3/2012 17:00,5/31/2012 17:00,58.00,900,5191,1,576.7777778,Jeff Huang,,,,24,,0,,,,,,0.5,0.667,0.833,0.667,1,0,1,0.067,1,0.067,0,0.448,1,0,1,0.5,0.067,1,0.067,0,0.833,0.496
10,https://experiment.com/projects/beekeeping,69,Evan A. Sugden,Training a new generation of scientific beekeepers,"University of Washington, Tacoma",Researcher,,1,,,,,,,0,A,A,"1400 NE Campus Parkway, Seattle, Washington 98195-4550",98195,,47.656216,,-122.31312,,"Seattle, WA",,42660,,,"Instructor, Biology Department", ,,"M.A. Biology, University of Utah 1976

<br>

PhD Entomology, University of California, Davis 1984 

<br>

Instructor at Biology Dept., University of Washington, Seattle

<br>

Instructor at Interdisciplinary Arts & Sciences, Univ. WA, Tacoma 

<br>

Owner of Entomo-Logic , Monroe, WA ", ,,University of Washington,,Washington,,1,1,0,1,,"M.A. Biology, University of Utah 1976

<br>

PhD Entomology, University of California, Davis 1984 

<br>

Instructor at Biology Dept., University of Washington, Seattle

<br>

Instructor at Interdisciplinary Arts & Sciences, Univ. WA, Tacoma 

<br>

Owner of Entomo-Logic , Monroe, WA ",43,Education,Ecology,,,,Washington,WA,Q4,6/10/2012 17:00,11/2/2012 17:00,145.00,2200,2250,1,102.2727273,Evan A. Sugden,,8733075500,,1,,0,,3,,68,,0,0.333,0.867,0.4,0,1,0.333,1,1,0.5,0.733,0.652,0,1,0.333,0,1,1,0.5,0.733,0.867,0.604
12,https://experiment.com/projects/omnioff,47,Nick Wang,Omnioff: a non-toxic alternative to Teflon non-stick cookware,University of Washington,Undergraduate,,0,,,,,,,0,D,D2,"1400 NE Campus Parkway, Seattle, Washington 98195-4550",98195,,47.656216,,-122.31312,,"Seattle, WA",,42660,,,,,,"University of Washington, B.S. Chemical Engineering", ,,University of Washington,,Washington,,1,1,0,1,,"University of Washington, B.S. Chemical Engineering",32,Engineering,Chemistry,,,,Washington,WA,Q4,6/11/2012 17:00,11/2/2012 17:00,144.00,2500,2526,1,101.04,Nick Wang,,,,10,,0,,,,,,0.3,0.667,0.3,0.422,0,1,0.667,0.2,1,0.3,0.1,0.467,0,1,0.667,0.3,0.2,1,0.3,0.1,0.3,0.43
20,https://experiment.com/projects/guillaume-lajoie,314,Guillaume Lajoie,Exploring Stability of Neural Networks,University of Washington,PhD,,0,,,,,,,0,D,D2,"1400 NE Campus Parkway, Seattle, Washington 98195-4550",98195,,47.656216,,-122.31312,,"Seattle, WA",,42660,,,Doctoral Candidate,,,Ph.D. Applied Mathematics at University of Washington M.S. Mathematics at University of Ottowa M.S. Applied Mathematics at University of Washington B.S. Mathematics at University of Ottawa, ,,,,,,0,1,0,0,,Ph.D. Applied Mathematics at University of Washington M.S. Mathematics at University of Ottowa M.S. Applied Mathematics at University of Washington B.S. Mathematics at University of Ottawa,12,Engineering,,,,,Washington,WA,Q3,6/10/2012 17:00,7/29/2012 17:00,49.00,2200,197,0,8.954545455,Guillaume Lajoie,,54925531500,,1,,0,,1,,5,,0.067,0.667,0.367,0.367,1,1,0,0.033,1,0.633,0.133,0.543,1,1,0,0.067,0.033,1,0.633,0.133,0.367,0.47
22,https://experiment.com/projects/tracking-magellanic-penguins,72,Dee Boersma,Tracking Magellanic Penguins,University of Washington,Full Professor,,1,,,,,,,0,D,D2,"1400 NE Campus Parkway, Seattle, Washington 98195-4550",98195,,47.656216,,-122.31312,,"Seattle, WA",,42660,,,Wadsworth Endowed Chair, ,,"Wadsworth Endowed Chair, University of Washington", ,,University of Washington,,Washington,,0,2,1,1,,"Wadsworth Endowed Chair, University of Washington",19,Ecology,,,,,Washington,WA,Q3,6/27/2012 17:00,12/24/2012 16:00,179.96,5500,5520,1,100.3636364,Dee Boersma,,7004006125,,2,,"['7004006125', '56229360300']",,22,,1499,,0.333,1,0.1,0.478,1,1,1,1,1,0,0.033,0.719,1,1,1,0.333,1,1,0,0.033,0.1,0.607
33,https://experiment.com/projects/formula-sae-student-designed-and-built-electric-racecar,142,Alan Luan,Formula SAE: Student designed and built electric racecar,Western Washington University,Undergraduate,,0,,,,,,,0,A,A,"516 High Street, Bellingham, Washington 98225-9008",98225,,48.737432,,-122.48741,,"Bellingham, WA",,13380,,,,,,Western Washington University, ,,Western Washington University,,Washington,,0,1,0,0,,Western Washington University,44,Engineering,,,,,Washington,WA,Q4,10/2/2012 17:00,12/20/2012 16:00,78.96,8000,8635,1,107.9375,Alan Luan,,,,0,,0,,,,,,0.433,0,0.2,0.211,0,1,0.667,0.067,1,0.133,0.233,0.443,0,1,0.667,0.433,0.067,1,0.133,0.233,0.2,0.415
