amount,created,project_id
5,3/24/12,1
10,3/26/12,1
5,3/27/12,1
20,3/27/12,1
5,3/29/12,1
15,4/12/12,1
25,4/12/12,1
20,4/12/12,1
10,4/12/12,1
10,4/14/12,1
25,4/14/12,1
10,4/17/12,1
15,4/26/12,1
1,4/26/12,1
50,5/17/12,1
20,5/17/12,1
10,5/17/12,1
10,6/3/12,1
15,6/6/12,1
10,3/26/12,2
20,3/27/12,2
5,3/28/12,2
25,3/28/12,2
10,3/28/12,2
50,3/29/12,2
5,3/29/12,2
1,3/29/12,2
10,3/29/12,2
100,4/5/12,2
1,4/8/12,2
10,4/9/12,2
20,4/10/12,2
5,4/11/12,2
10,4/12/12,2
3,4/12/12,2
10,4/12/12,2
10,4/13/12,2
25,4/14/12,2
20,4/14/12,2
50,4/15/12,2
5,4/15/12,2
5,4/15/12,2
100,4/15/12,2
10,4/15/12,2
100,4/15/12,2
20,4/19/12,2
3,4/20/12,2
50,4/20/12,2
30,4/20/12,2
15,4/20/12,2
5,4/20/12,2
1,4/21/12,2
200,4/23/12,2
5,4/23/12,2
10,4/23/12,2
100,4/24/12,2
25,5/17/12,2
100,12/9/13,2
15,3/26/12,3
5,3/27/12,3
10,3/27/12,3
100,3/27/12,3
50,3/28/12,3
25,3/28/12,3
25,3/29/12,3
25,3/29/12,3
5,3/29/12,3
100,4/1/12,3
100,4/5/12,3
50,4/10/12,3
4,4/12/12,3
4,4/13/12,3
25,4/15/12,3
500,4/18/12,3
10,4/18/12,3
5,4/19/12,3
100,4/20/12,3
5,4/20/12,3
50,4/20/12,3
50,4/20/12,3
10,4/20/12,3
25,4/20/12,3
100,4/20/12,3
5,4/20/12,3
20,4/20/12,3
200,4/24/12,3
10,4/24/12,3
40,4/25/12,3
500,4/26/12,3
10,4/26/12,3
20,4/27/12,3
102,4/27/12,3
90,5/10/12,3
15,4/12/12,6
20,4/12/12,6
30,4/12/12,6
20,4/12/12,6
10,4/12/12,6
35,4/12/12,6
10,4/12/12,6
10,4/13/12,6
10,4/15/12,6
50,4/15/12,6
50,5/1/12,6
1,6/1/12,6
5,6/20/12,6
50,1/15/13,6
10,2/25/13,6
10,2/25/13,6
10,2/25/13,6
1,2/25/13,6
100,2/25/13,6
20,2/26/13,6
10,3/1/13,6
25,3/3/13,6
20,3/7/13,6
10,3/7/13,6
20,3/7/13,6
25,3/7/13,6
10,3/8/13,6
60,3/8/13,6
10,3/11/13,6
25,3/11/13,6
10,3/11/13,6
10,3/11/13,6
25,3/11/13,6
20,3/11/13,6
200,3/11/13,6
5,3/11/13,6
1,3/11/13,6
5,3/11/13,6
200,3/11/13,6
10,3/12/13,6
5,3/12/13,6
10,3/12/13,6
5,3/12/13,6
10,3/12/13,6
7,3/16/13,6
45,4/12/12,9
20,4/12/12,9
10,4/12/12,9
10,4/12/12,9
10,4/20/12,9
1,5/4/12,9
50,5/4/12,9
10,5/8/12,9
5000,5/11/12,9
1,5/11/12,9
10,5/11/12,9
3,5/11/12,9
10,5/12/12,9
1,5/15/12,9
10,4/1/13,9
10,6/12/12,10
15,6/12/12,10
15,6/12/12,10
5,6/13/12,10
100,6/26/12,10
15,6/29/12,10
500,6/29/12,10
10,6/29/12,10
50,7/1/12,10
5,7/5/12,10
50,7/5/12,10
40,7/5/12,10
100,7/6/12,10
15,7/9/12,10
50,7/13/12,10
50,7/16/12,10
6,7/17/12,10
30,7/20/12,10
20,7/22/12,10
5,7/24/12,10
10,7/26/12,10
5,7/27/12,10
40,7/28/12,10
25,7/29/12,10
50,7/31/12,10
100,8/1/12,10
25,8/3/12,10
15,8/6/12,10
150,8/10/12,10
50,8/10/12,10
10,8/11/12,10
50,8/14/12,10
1,8/14/12,10
232,8/14/12,10
20,8/15/12,10
10,8/16/12,10
10,8/19/12,10
4,8/19/12,10
30,8/20/12,10
100,8/25/12,10
100,8/26/12,10
20,8/26/12,10
102,8/26/12,10
20,7/9/12,12
20,7/10/12,12
100,7/10/12,12
60,7/10/12,12
5,7/11/12,12
40,7/12/12,12
10,7/17/12,12
50,7/17/12,12
25,7/18/12,12
50,7/19/12,12
30,7/20/12,12
20,7/22/12,12
25,7/31/12,12
10,8/1/12,12
100,8/3/12,12
10,8/6/12,12
50,8/10/12,12
250,8/12/12,12
50,8/16/12,12
50,8/23/12,12
25,8/26/12,12
1300,9/5/12,12
10,9/6/12,12
25,9/6/12,12
10,9/6/12,12
21,9/7/12,12
10,9/11/12,12
50,9/13/12,12
5,9/16/12,12
25,9/16/12,12
30,9/16/12,12
40,9/17/12,12
10,6/12/12,20
10,6/13/12,20
10,6/13/12,20
15,6/13/12,20
100,6/13/12,20
10,6/14/12,20
1,6/20/12,20
5,6/20/12,20
20,7/15/12,20
1,7/17/12,20
10,7/19/12,20
5,7/27/12,20
40,6/29/12,22
10,7/5/12,22
20,7/6/12,22
2,7/17/12,22
35,7/18/12,22
20,7/27/12,22
40,7/28/12,22
25,7/31/12,22
50,8/15/12,22
20,9/1/12,22
43,9/7/12,22
5,9/25/12,22
30,10/3/12,22
75,10/24/12,22
20,10/30/12,22
50,11/8/12,22
25,12/4/12,22
5000,12/11/12,22
10,12/16/12,22
10,10/4/12,33
25,10/4/12,33
120,10/4/12,33
20,10/4/12,33
20,10/4/12,33
15,10/4/12,33
30,10/4/12,33
100,10/4/12,33
40,10/4/12,33
50,10/5/12,33
15,10/5/12,33
100,10/5/12,33
20,10/9/12,33
200,10/9/12,33
75,10/10/12,33
100,10/10/12,33
100,10/10/12,33
100,10/12/12,33
50,10/14/12,33
50,10/15/12,33
20,10/16/12,33
25,10/17/12,33
30,10/17/12,33
75,10/18/12,33
25,10/21/12,33
100,10/22/12,33
25,10/22/12,33
30,10/22/12,33
40,10/22/12,33
50,10/22/12,33
150,10/23/12,33
20,10/23/12,33
500,10/24/12,33
100,10/24/12,33
100,10/25/12,33
25,10/25/12,33
1000,10/25/12,33
100,10/26/12,33
20,10/28/12,33
500,10/28/12,33
1,10/28/12,33
74,10/29/12,33
50,10/30/12,33
50,10/31/12,33
100,10/31/12,33
25,11/1/12,33
100,11/2/12,33
200,11/3/12,33
300,11/4/12,33
100,11/6/12,33
100,11/12/12,33
10,11/15/12,33
20,11/15/12,33
5,11/15/12,33
50,11/15/12,33
100,11/16/12,33
50,11/17/12,33
20,11/20/12,33
50,11/20/12,33
100,11/20/12,33
370,11/22/12,33
200,11/24/12,33
1000,11/26/12,33
50,11/26/12,33
500,11/26/12,33
150,11/26/12,33
100,11/26/12,33
25,11/27/12,33
250,11/28/12,33
100,12/11/12,33
200,12/11/12,33
10,12/16/12,33
20,10/8/12,34
20,10/8/12,34
40,10/25/12,34
10,11/6/12,34
11,9/12/12,35
10,9/12/12,35
